127.0.0.1 - - [01/Oct/2017:15:02:33 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/product2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/product3_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/product3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/getinspired2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/getinspired1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/front.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/getinspired3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:38 +0530] "GET /MedioxyPharm/css/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:53 +0530] "GET /MedioxyPharm/ HTTP/1.1" 200 43993
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:55 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/css/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/js/front.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/img/logo-small.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/img/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:56 +0530] "GET /MedioxyPharm/img/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:57 +0530] "GET /MedioxyPharm/img/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:57 +0530] "GET /MedioxyPharm/img/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:57 +0530] "GET /MedioxyPharm/img/product1_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:57 +0530] "GET /MedioxyPharm/img/product1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:57 +0530] "GET /MedioxyPharm/img/product3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:57 +0530] "GET /MedioxyPharm/img/product2_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:57 +0530] "GET /MedioxyPharm/img/product3_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:57 +0530] "GET /MedioxyPharm/img/product2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:58 +0530] "GET /MedioxyPharm/img/getinspired3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:58 +0530] "GET /MedioxyPharm/img/getinspired1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:58 +0530] "GET /MedioxyPharm/img/getinspired2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:58 +0530] "GET /MedioxyPharm/favicon.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:06:24 +0530] "GET /MedioxyPharm/ HTTP/1.1" 200 43993
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:06:27 +0530] "GET /MedioxyPharm/register.html HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:06:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:07:10 +0530] "GET /MedioxyPharm/ HTTP/1.1" 200 43992
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:07:14 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 32135
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:07:14 +0530] "GET /MedioxyPharm/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:07:14 +0530] "GET /MedioxyPharm/img/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:07:14 +0530] "GET /MedioxyPharm/img/logo-small.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:07:14 +0530] "GET /MedioxyPharm/img/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:14:18 +0530] "GET /MedioxyPharm/ HTTP/1.1" 200 43977
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:14:45 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 32135
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:19:26 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 26907
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:22:41 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 6195
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:23:07 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:24:08 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:24:43 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:26:58 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5063
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:27:53 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5063
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:29:32 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:34:19 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:34:22 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:34:55 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:35:11 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:35:17 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:35:42 +0530] "GET /MedioxyPharm/ HTTP/1.1" 200 43977
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:35:49 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:00 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 35014
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 200 21643
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 200 47610
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 200 4591
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 200 109521
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 200 14916
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/front.js HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:07 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:08 +0530] "GET /MedioxyPharm/css/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:08 +0530] "GET /MedioxyPharm/favicon.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 200 109521
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 200 47610
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 35014
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 200 4591
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 200 14916
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/js/front.js HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 200 21643
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:16 +0530] "GET /MedioxyPharm/css/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:36:17 +0530] "GET /MedioxyPharm/favicon.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:38:53 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:38:53 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 35031
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:40:57 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:40:57 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 35044
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:41:59 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:41:59 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 35052
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:44:25 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:44:25 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:44:52 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:44:52 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:46:16 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5098
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:46:16 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:47:01 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5097
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:47:01 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:47:04 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5097
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:47:31 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:47:35 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:51:48 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5098
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:51:48 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 35030
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:52:27 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:52:27 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:52:43 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5091
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:52:43 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:53:24 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5091
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:53:24 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:53:36 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5091
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:53:52 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5091
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:53:52 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:54:19 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5095
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:54:19 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:54:37 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5094
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:54:37 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:55:03 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:55:45 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:55:45 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:56:16 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:56:16 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:57:40 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:57:40 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:59:10 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:59:10 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:59:50 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:01:01 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4836
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:01:01 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:01:41 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:15:10 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:18:09 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:18:09 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:18:09 +0530] "GET /img/register.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:18:09 +0530] "GET /MedioxyPharm/favicon.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:19:41 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:20:10 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4645
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:20:10 +0530] "GET /MedioxyPharm/img/register.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:21:01 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4645
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:21:01 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:21:01 +0530] "GET /MedioxyPharm/img/register.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Oct/2017:16:22:53 +0530] "GET /MedioxyPharm/register.jsp HTTP/1.1" 200 4640
